lat,lon,id,pm2_5_cf_1_count,pm2_5_atm_count,p_2_5_um_count,start_date,end_date,Network
32.7893,-115.558,8778,2622,2622,2622,29-05-2019 06:03,30-10-2019 19:01,PPA
32.7893,-115.558,8779,2369,2369,2368,11-06-2019 00:00,30-10-2019 19:01,PPA
33.974,-117.326,8801,1,1,1,29-04-2019 21:25,29-04-2019 21:27,PPA
33.9752,-117.327,8804,1,1,1,29-04-2019 21:26,29-04-2019 21:27,PPA
33.9752,-117.327,8805,1,1,1,29-04-2019 21:26,29-04-2019 21:27,PPA
33.9743,-117.332,8807,3,3,3,29-04-2019 21:28,29-04-2019 21:29,PPA
33.736,-117.448,9178,8192,8192,8184,01-01-2019 00:01,14-01-2020 23:00,PPA
33.736,-117.448,9179,8185,8185,8194,01-01-2019 00:01,13-01-2020 06:00,PPA
33.7618,-117.498,9180,8965,8965,8966,01-01-2019 00:00,14-01-2020 23:17,PPA
33.7618,-117.498,9181,8965,8965,8965,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7691,-117.508,9184,1343,1343,1343,01-01-2019 00:00,25-02-2019 23:00,PPA
33.7691,-117.508,9185,1343,1343,1343,01-01-2019 00:00,25-02-2019 23:00,PPA
33.7895,-117.453,9192,8957,8957,8957,01-01-2019 00:00,14-01-2020 23:18,PPA
33.7895,-117.453,9193,8958,8958,8959,01-01-2019 00:00,14-01-2020 23:20,PPA
33.7641,-117.501,9194,8980,8980,8981,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7641,-117.501,9195,8980,8980,8980,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7991,-117.528,9196,8913,8913,8913,01-01-2019 00:02,14-01-2020 23:17,PPA
33.7991,-117.528,9197,8912,8912,8912,01-01-2019 00:01,14-01-2020 23:17,PPA
33.7932,-117.51,9198,2874,2874,2878,01-01-2019 00:02,30-08-2019 01:23,PPA
33.7932,-117.51,9199,2876,2876,2876,01-01-2019 00:09,30-08-2019 01:23,PPA
33.7471,-117.461,9206,8962,8962,8962,01-01-2019 00:00,14-01-2020 23:20,PPA
33.7471,-117.461,9207,8962,8962,8962,01-01-2019 00:00,14-01-2020 23:20,PPA
33.7532,-117.469,9208,8951,8951,8951,01-01-2019 00:00,14-01-2020 23:17,PPA
33.7532,-117.469,9209,8951,8951,8953,01-01-2019 00:00,14-01-2020 23:15,PPA
33.9994,-117.416,9226,8891,8891,8893,01-01-2019 00:05,14-01-2020 23:56,PPA
33.9994,-117.416,9227,8893,8893,8893,01-01-2019 00:00,14-01-2020 23:52,PPA
33.7923,-117.85,9252,6186,6186,6186,01-01-2019 00:00,14-01-2020 23:21,PPA
33.7923,-117.85,9253,6187,6187,6186,01-01-2019 00:00,14-01-2020 23:21,PPA
33.8065,-117.503,9262,8594,8594,8595,01-01-2019 00:08,14-01-2020 23:15,PPA
33.8065,-117.503,9263,8594,8594,8595,01-01-2019 00:01,14-01-2020 23:17,PPA
34.2423,-116.93,9268,8581,8581,8581,01-01-2019 00:00,14-01-2020 23:19,PPA
34.2423,-116.93,9269,8581,8581,8582,01-01-2019 00:00,14-01-2020 23:17,PPA
33.7195,-117.428,9306,8986,8986,8986,01-01-2019 00:01,14-01-2020 23:17,PPA
33.7195,-117.428,9307,8986,8986,8987,01-01-2019 00:03,14-01-2020 23:20,PPA
33.75,-117.469,9314,8853,8853,8852,01-01-2019 00:00,14-01-2020 23:18,PPA
33.75,-117.469,9315,8852,8852,8851,01-01-2019 00:00,14-01-2020 23:18,PPA
33.7637,-117.498,9336,8910,8910,8909,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7637,-117.498,9337,8909,8909,8909,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7728,-117.501,9338,4689,4689,4689,01-01-2019 00:01,26-12-2019 22:00,PPA
33.7728,-117.501,9339,4689,4689,4689,01-01-2019 00:01,26-12-2019 22:01,PPA
33.718,-117.427,9340,6471,6471,6477,01-01-2019 00:17,14-01-2020 23:20,PPA
33.718,-117.427,9341,6473,6473,6474,01-01-2019 00:03,14-01-2020 23:20,PPA
33.7888,-117.505,9344,4393,4393,4390,01-01-2019 00:01,08-07-2019 06:00,PPA
33.7888,-117.505,9345,4389,4389,4388,01-01-2019 00:01,08-07-2019 06:00,PPA
33.7368,-117.447,9352,8861,8861,8860,01-01-2019 00:00,14-01-2020 23:14,PPA
33.7368,-117.447,9353,8860,8860,8861,01-01-2019 00:00,14-01-2020 23:06,PPA
33.9993,-117.416,9358,8892,8892,8892,01-01-2019 00:00,14-01-2020 23:56,PPA
