Network,lat,lon,id,Loc
PPA,38.93991,-76.93278,710,Washington
PPA,38.69556,-76.8528,711,Washington
PPA,38.69556,-76.8528,712,Washington
PPA,38.94598,-76.93644,725,Washington
PPA,38.94598,-76.93644,726,Washington
PPA,38.98877,-76.98159,751,Washington
PPA,38.98877,-76.98159,752,Washington
PPA,38.99341,-76.94319,763,Washington
PPA,38.99341,-76.94319,764,Washington
PPA,38.90019,-77.26559,2239,Washington
PPA,38.90019,-77.26559,2240,Washington
PPA,39.26552,-77.18857,2241,Washington
PPA,39.26552,-77.18857,2242,Washington
PPA,38.75786,-77.21985,2329,Washington
PPA,38.75786,-77.21985,2330,Washington
PPA,39.08316,-77.06831,3090,Washington
PPA,39.08316,-77.06831,3091,Washington
PPA,38.845,-77.45517,3157,Washington
PPA,38.845,-77.45517,3158,Washington
PPA,38.87203,-77.11747,4347,Washington
PPA,38.87203,-77.11747,4348,Washington
PPA,38.97315,-78.24708,4427,Washington
PPA,38.97315,-78.24708,4428,Washington
PPA,39.00396,-76.81469,4433,Washington
PPA,39.00396,-76.81469,4434,Washington
PPA,39.00399,-76.8144,4441,Washington
PPA,39.00399,-76.8144,4442,Washington
PPA,39.15819,-77.69833,4591,Washington
PPA,39.15819,-77.69833,4592,Washington
PPA,39.01057,-76.87687,4647,Washington
PPA,39.01057,-76.87687,4648,Washington
PPA,38.78409,-77.49477,5512,Washington
PPA,38.78409,-77.49477,5513,Washington
PPA,39.12412,-77.71613,6612,Washington
PPA,39.12412,-77.71613,6613,Washington
PPA,39.37026,-77.17405,6728,Washington
PPA,39.37026,-77.17405,6729,Washington
PPA,38.92163,-76.92177,7674,Washington
PPA,38.92163,-76.92177,7675,Washington
PPA,38.88133,-77.25712,7750,Washington
PPA,38.88133,-77.25712,7751,Washington
PPA,38.94077,-76.93323,8812,Washington
PPA,38.94077,-76.93323,8813,Washington
PPA,39.04377,-77.01187,9664,Washington
PPA,38.19908,-77.51184,9930,Washington
PPA,38.19908,-77.51184,9932,Washington
PPA,38.83108,-77.07069,11602,Washington
PPA,38.79522,-77.32568,12016,Washington
PPA,38.79522,-77.32568,12017,Washington
PPA,38.89976,-77.08342,12276,Washington
PPA,38.89976,-77.08342,12277,Washington
PPA,38.91849,-77.03739,12965,Washington
PPA,38.91849,-77.03739,12966,Washington
PPA,39.2264,-77.9229,14199,Washington
PPA,39.2264,-77.9229,14200,Washington
PPA,39.00397,-76.81444,14487,Washington
PPA,39.00397,-76.81444,14488,Washington
PPA,38.67887,-77.26004,14687,Washington
PPA,38.67887,-77.26004,14688,Washington
PPA,38.81843,-77.41975,16377,Washington
PPA,38.81843,-77.41975,16378,Washington
PPA,38.97509,-77.00005,17521,Washington
PPA,38.97509,-77.00005,17522,Washington
PPA,38.86977,-77.09143,18160,Washington
PPA,39.38253,-77.84387,18373,Washington
PPA,39.38253,-77.84387,18374,Washington
PPA,39.0707,-77.16571,21222,Washington
PPA,39.0707,-77.16571,21226,Washington
PPA,39.00396,-76.81444,21957,Washington
PPA,39.00396,-76.81444,21958,Washington
PPA,38.88297,-76.98804,23285,Washington
PPA,38.88297,-76.98804,23286,Washington
PPA,38.974,-76.99951,23323,Washington
PPA,38.974,-76.99951,23324,Washington
PPA,38.97492,-77.00001,23640,Washington
PPA,38.97432,-76.99976,24178,Washington
PPA,33.54,-115.939,187,Riverside
PPA,33.54,-115.939,188,Riverside
PPA,33.7003,-116.208,193,Riverside
PPA,33.7003,-116.208,194,Riverside
PPA,33.5729,-116.076,199,Riverside
PPA,33.5729,-116.076,200,Riverside
PPA,34.0596,-117.147,205,Riverside
PPA,34.0596,-117.147,206,Riverside
PPA,34.0623,-117.034,209,Riverside
PPA,34.0623,-117.034,210,Riverside
PPA,34.0472,-117.145,211,Riverside
PPA,34.0472,-117.145,212,Riverside
PPA,34.022,-117.095,213,Riverside
PPA,34.022,-117.095,214,Riverside
PPA,34.0635,-117.267,215,Riverside
PPA,34.0635,-117.267,216,Riverside
PPA,34.0199,-117.063,219,Riverside
PPA,34.0199,-117.063,220,Riverside
PPA,33.9995,-117.415,221,Riverside
PPA,33.9995,-117.415,222,Riverside
PPA,34.0309,-117.189,223,Riverside
PPA,34.0309,-117.189,224,Riverside
PPA,34.0062,-117.04,225,Riverside
PPA,34.0062,-117.04,226,Riverside
PPA,34.069,-117.1,227,Riverside
PPA,34.069,-117.1,228,Riverside
PPA,34.0234,-117.182,229,Riverside
PPA,34.0234,-117.182,230,Riverside
PPA,33.9995,-117.416,232,Riverside
PPA,33.9995,-117.416,233,Riverside
PPA,34.0284,-117.046,234,Riverside
PPA,34.0284,-117.046,235,Riverside
PPA,34.0343,-117.191,236,Riverside
PPA,34.0343,-117.191,237,Riverside
PPA,34.0744,-117.158,238,Riverside
PPA,34.0744,-117.158,239,Riverside
PPA,34.0298,-117.157,240,Riverside
PPA,34.0298,-117.157,241,Riverside
PPA,34.0424,-117.016,242,Riverside
PPA,34.0424,-117.016,243,Riverside
PPA,34.034,-117.187,244,Riverside
PPA,34.034,-117.187,245,Riverside
PPA,34.0672,-117.159,246,Riverside
PPA,34.0672,-117.159,247,Riverside
PPA,34.0192,-117.125,250,Riverside
PPA,34.0192,-117.125,251,Riverside
PPA,34.0214,-117.095,254,Riverside
PPA,34.0214,-117.095,255,Riverside
PPA,34.0413,-117.15,258,Riverside
PPA,34.0413,-117.15,259,Riverside
PPA,34.1199,-117.16,260,Riverside
PPA,34.1199,-117.16,261,Riverside
PPA,34.0761,-117.124,262,Riverside
PPA,34.0761,-117.124,263,Riverside
PPA,34.039,-117.244,503,Riverside
PPA,34.039,-117.244,504,Riverside
PPA,33.6961,-116.192,509,Riverside
PPA,33.6961,-116.192,510,Riverside
PPA,33.63,-117.281,591,Riverside
PPA,33.63,-117.281,592,Riverside
PPA,33.5449,-116.113,597,Riverside
PPA,33.5449,-116.113,598,Riverside
PPA,33.5732,-116.067,599,Riverside
PPA,33.5732,-116.067,600,Riverside
PPA,33.6349,-116.125,601,Riverside
PPA,33.6349,-116.125,602,Riverside
PPA,33.5633,-116.073,1527,Riverside
PPA,33.5633,-116.073,1528,Riverside
PPA,33.971,-117.335,1698,Riverside
PPA,33.971,-117.335,1699,Riverside
PPA,33.971,-117.329,1706,Riverside
PPA,33.971,-117.329,1707,Riverside
PPA,33.9745,-117.328,1708,Riverside
PPA,33.9745,-117.328,1709,Riverside
PPA,33.9819,-117.345,1794,Riverside
PPA,33.9819,-117.345,1795,Riverside
PPA,34.1001,-117.492,1800,Riverside
PPA,34.1001,-117.492,1801,Riverside
PPA,33.8786,-117.351,1804,Riverside
PPA,33.8786,-117.351,1805,Riverside
PPA,33.9133,-117.429,1806,Riverside
PPA,33.9133,-117.429,1807,Riverside
PPA,33.9688,-117.313,1808,Riverside
PPA,33.9688,-117.313,1809,Riverside
PPA,33.8821,-117.333,1810,Riverside
PPA,33.8821,-117.333,1811,Riverside
PPA,33.9878,-117.337,1814,Riverside
PPA,33.9878,-117.337,1815,Riverside
PPA,33.8907,-117.311,1818,Riverside
PPA,33.8907,-117.311,1819,Riverside
PPA,33.9722,-117.386,1822,Riverside
PPA,33.9722,-117.386,1823,Riverside
PPA,33.9394,-117.38,1826,Riverside
PPA,33.9394,-117.38,1827,Riverside
PPA,33.9526,-117.411,1828,Riverside
PPA,33.9526,-117.411,1829,Riverside
PPA,33.9415,-117.415,1832,Riverside
PPA,33.9415,-117.415,1833,Riverside
PPA,33.9995,-117.416,1854,Riverside
PPA,33.9995,-117.416,1855,Riverside
PPA,33.9562,-117.331,2281,Riverside
PPA,33.9562,-117.331,2282,Riverside
PPA,33.8742,-117.346,2285,Riverside
PPA,33.8742,-117.346,2286,Riverside
PPA,33.9584,-117.367,2295,Riverside
PPA,33.9584,-117.367,2296,Riverside
PPA,33.7964,-116.976,2466,Riverside
PPA,33.7964,-116.976,2467,Riverside
PPA,34.242,-116.866,2715,Riverside
PPA,34.242,-116.866,2716,Riverside
PPA,33.7651,-116.958,2725,Riverside
PPA,33.7651,-116.958,2726,Riverside
PPA,33.9266,-117.433,2729,Riverside
PPA,33.9266,-117.433,2730,Riverside
PPA,34.2231,-116.411,2860,Riverside
PPA,34.2231,-116.411,2861,Riverside
PPA,33.5696,-117.141,3009,Riverside
PPA,33.5696,-117.141,3010,Riverside
PPA,34.0559,-117.306,3134,Riverside
PPA,34.0559,-117.306,3135,Riverside
PPA,34.5351,-117.116,3142,Riverside
PPA,34.5351,-117.116,3143,Riverside
PPA,33.9994,-117.416,3537,Riverside
PPA,33.9994,-117.416,3538,Riverside
PPA,34.0011,-117.336,3549,Riverside
PPA,34.0011,-117.336,3550,Riverside
PPA,33.7827,-117.359,4305,Riverside
PPA,33.7827,-117.359,4306,Riverside
PPA,33.9535,-117.31,4660,Riverside
PPA,33.9535,-117.31,4661,Riverside
PPA,33.9428,-117.312,4664,Riverside
PPA,33.9428,-117.312,4665,Riverside
PPA,33.9506,-117.309,4666,Riverside
PPA,33.9506,-117.309,4667,Riverside
PPA,33.9519,-117.306,4672,Riverside
PPA,33.9519,-117.306,4673,Riverside
PPA,33.9531,-117.309,4676,Riverside
PPA,33.9531,-117.309,4677,Riverside
PPA,33.9419,-117.31,4682,Riverside
PPA,33.9419,-117.31,4683,Riverside
PPA,33.9426,-117.304,4694,Riverside
PPA,33.9426,-117.304,4695,Riverside
PPA,33.9437,-117.303,4696,Riverside
PPA,33.9437,-117.303,4697,Riverside
PPA,33.9424,-117.309,4698,Riverside
PPA,33.9424,-117.309,4699,Riverside
PPA,33.9493,-117.306,4704,Riverside
PPA,33.9493,-117.306,4705,Riverside
PPA,33.9462,-117.309,4708,Riverside
PPA,33.9462,-117.309,4709,Riverside
PPA,33.9419,-117.311,4714,Riverside
PPA,33.9419,-117.311,4715,Riverside
PPA,33.9424,-117.309,4716,Riverside
PPA,33.9424,-117.309,4717,Riverside
PPA,33.9429,-117.307,4719,Riverside
PPA,33.9429,-117.307,4720,Riverside
PPA,33.9431,-117.308,4729,Riverside
PPA,33.9431,-117.308,4730,Riverside
PPA,33.9995,-117.416,4731,Riverside
PPA,33.9995,-117.416,4732,Riverside
PPA,33.9536,-117.306,4736,Riverside
PPA,33.9536,-117.306,4737,Riverside
PPA,33.947,-117.306,4740,Riverside
PPA,33.947,-117.306,4741,Riverside
PPA,33.9524,-117.312,4742,Riverside
PPA,33.9524,-117.312,4743,Riverside
PPA,33.9436,-117.304,4744,Riverside
PPA,33.9436,-117.304,4745,Riverside
PPA,33.9995,-117.416,4748,Riverside
PPA,33.9995,-117.416,4749,Riverside
PPA,33.9761,-117.328,4754,Riverside
PPA,33.9761,-117.328,4755,Riverside
PPA,33.9426,-117.307,4758,Riverside
PPA,33.9426,-117.307,4759,Riverside
PPA,33.9421,-117.311,4762,Riverside
PPA,33.9421,-117.311,4763,Riverside
PPA,33.9547,-117.314,4805,Riverside
PPA,33.9547,-117.314,4806,Riverside
PPA,34.0681,-117.526,5266,Riverside
PPA,34.0681,-117.526,5267,Riverside
PPA,34.0309,-117.617,5276,Riverside
PPA,34.0309,-117.617,5277,Riverside
PPA,33.9995,-117.416,5280,Riverside
PPA,33.9995,-117.416,5281,Riverside
PPA,33.9995,-117.416,5284,Riverside
PPA,33.9995,-117.416,5287,Riverside
PPA,33.9263,-117.434,5290,Riverside
PPA,33.9263,-117.434,5291,Riverside
